name,description,price,category,image_url,website_url,product_url,stock,currency,payment_link,sku,color,size,required_fields,attributes
UrbanFlex T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",749,T-Shirt,https://placehold.co/600x600?text=SF-T--001,,https://shubhamfashion.demo/products/SF-T--001,43,INR,,SF-T--001,Blue,L,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""L""]}"
CoreWear T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",2099,T-Shirt,https://placehold.co/600x600?text=SF-T--002,,https://shubhamfashion.demo/products/SF-T--002,14,INR,,SF-T--002,Olive,XL,"[""color"", ""size""]","{""color"": [""Olive""], ""size"": [""XL""]}"
StreetEase T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",1999,T-Shirt,https://placehold.co/600x600?text=SF-T--003,,https://shubhamfashion.demo/products/SF-T--003,51,INR,,SF-T--003,Olive,M,"[""color"", ""size""]","{""color"": [""Olive""], ""size"": [""M""]}"
DailyCotton T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",399,T-Shirt,https://placehold.co/600x600?text=SF-T--004,,https://shubhamfashion.demo/products/SF-T--004,48,INR,,SF-T--004,Blue,XL,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""XL""]}"
MinimalX T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",1449,T-Shirt,https://placehold.co/600x600?text=SF-T--005,,https://shubhamfashion.demo/products/SF-T--005,38,INR,,SF-T--005,Black,XL,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""XL""]}"
AeroLite T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",1199,T-Shirt,https://placehold.co/600x600?text=SF-T--006,,https://shubhamfashion.demo/products/SF-T--006,5,INR,,SF-T--006,Blue,XL,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""XL""]}"
MetroFit T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",2149,T-Shirt,https://placehold.co/600x600?text=SF-T--007,,https://shubhamfashion.demo/products/SF-T--007,2,INR,,SF-T--007,Blue,XXL,"[""color"", ""size""]","{""color"": [""Blue""], ""size"": [""XXL""]}"
ClassicOne T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",1099,T-Shirt,https://placehold.co/600x600?text=SF-T--008,,https://shubhamfashion.demo/products/SF-T--008,40,INR,,SF-T--008,Black,M,"[""color"", ""size""]","{""color"": [""Black""], ""size"": [""M""]}"
FlexCotton T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",1549,T-Shirt,https://placehold.co/600x600?text=SF-T--009,,https://shubhamfashion.demo/products/SF-T--009,38,INR,,SF-T--009,Navy,L,"[""color"", ""size""]","{""color"": [""Navy""], ""size"": [""L""]}"
NovaWear T-Shirt,"Premium combed cotton t-shirt offering breathable comfort, soft feel and durable stitching for everyday wear.",899,T-Shirt,https://placehold.co/600x600?text=SF-T--010,,https://shubhamfashion.demo/products/SF-T--010,14,INR,,SF-T--010,White,XL,"[""color"", ""size""]","{""color"": [""White""], ""size"": [""XL""]}"
